1	What is your review of Hidden Figures -LRB- 2016 movie -RRB- ?	What are your impressions of Hidden Figures -LRB- 2017 movie -RRB- ?	11877
0	Currently , all Supreme Court Justices come from very elite law schools , is it similar for the best lawyers in private practice ?	What 's your type of jungle -LRB- concrete or nature -RRB- and why ?	221489
1	Why is saltwater taffy candy imported in Austria ?	Why is salt water taffy candy unknown in Japan ?	92126
0	Who has the better stable of characters , DC or Marvel ?	Which is better - DC or Marvel ?	289278
1	What is difference between CAT and GMAT in terms of syllabus , admission , difficulty and acceptance ?	What is the difference between the CAT and GMAT syllabus ?	328558
0	How can I stop being addicted to love ?	How can I stop being so addicted to my phone ?	113121
1	How did we get a picture of the Milky Way Galaxy ?	How is the picture of our Milky Way galaxy taken from the outside if we are inside the galaxy ?	383305
0	Is a APK file just a hidden app ?	Where do APK files get stored in Android Studio ?	383979
1	What is a neutron star made of ?	Is the neutron star made up of ?	277544
0	What happened to Percival Graves when MACUSA figured out that it 's not him in Fantastic Beast and Where to Find them ?	-LSB- SPOILER -RSB- In Fantastic Beasts and Where to Find Them , why did Gellert Grindelwald hunt the Obscurial ?	315081
1	What were the effects of WW-I ?	What were the major effects of WW1 ?	132268
0	`` ` Three-Parent Babies ' Get Go-Ahead in UK '' ? This topic seems to be based on a joke article .	Array declaration and initialization ?	108823
1	Why are evangelicals supporting 2016 Presidential candidate Donald Trump ?	Why do evangelical Christians support Donald Trump ?	211817
0	How are the relations between MS Dhoni and Yuvraj Singh ?	Why does n't M. S. Dhoni give the name of Yuvraj Singh to BCCI for WC15 ? Is he jealous of him , or is there some internal fight between both ?	49923
1	Who do you think will win the 2016 presidential election ?	Who do you think is going to win the 2016 presidential election ?	344634
0	What is the best tourist place in India during the month of February -LRB- which could be covered in a week -RRB- ?	Which is the best romantic laid back place worth visiting with a female companion for a week in India far away from crowds and unruly tourists ?	256260
1	How true is it that cannabis can cure cancer ?	Does cannabis oil made from indica plant really cure cancer ?	300762
0	How can you tell if a girl is a player ?	How can you tell if a guy is a player ?	192605
1	How do I know if my phone is tapped ?	How do I tell if my phone is tapped ?	46658
0	Did Allah order Muslims to sever all ties with their Non-Muslim parents and other family members until they accept Islam ?	Why did Mohammed order Muslims to sever all ties with their parents and all other family members until they embraced Islam ?	199647
